iShares Russell 3000 ETF
Fund Holdings as of,"May 05, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MMM","3M","Industrials","Equity","20,686,195.20","0.14","20,686,195.20","146,919.00","140.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","20,022,972.64","0.14","20,022,972.64","73,576.00","272.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","19,887,839.32","0.14","19,887,839.32","42,799.00","464.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","19,867,160.04","0.14","19,867,160.04","218,946.00","90.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","19,853,572.26","0.14","19,853,572.26","41,586.00","477.41","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","19,756,338.14","0.13","19,756,338.14","328,342.00","60.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","19,730,821.18","0.13","19,730,821.18","93,149.00","211.82","United States","NASDAQ","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","19,611,386.60","0.13","19,611,386.60","95,479.00","205.40","United States","NASDAQ","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","19,250,917.70","0.13","19,250,917.70","121,795.00","158.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","19,228,934.40","0.13","19,228,934.40","102,336.00","187.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","19,046,795.25","0.13","19,046,795.25","79,075.00","240.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","18,850,450.08","0.13","18,850,450.08","140,696.00","133.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","18,840,514.04","0.13","18,840,514.04","197,159.00","95.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","18,798,666.69","0.13","18,798,666.69","52,881.00","355.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","18,572,078.18","0.13","18,572,078.18","270,967.00","68.54","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","18,490,560.18","0.13","18,490,560.18","170,122.00","108.69","United States","NASDAQ","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","18,398,478.96","0.13","18,398,478.96","367,896.00","50.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","18,317,016.50","0.12","18,317,016.50","319,390.00","57.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","18,178,706.25","0.12","18,178,706.25","185,025.00","98.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
